Player,Weekly Wage
Séamus Coleman,"55000"
Stefan Ortega,"55000"
Sergio Reguilón,"53000"
Arnaut Danjuma,"52500"
Alejandro Garnacho,"50000"
Mason Greenwood,"50000"
Micky van de Ven,"50000"
James Tomkins,"50000"
Jean-Philippe Mateta,"50000"
Jeffrey Schlupp,"50000"
Marc Guéhi,"50000"
David Brooks,"50000"
Marcos Senesi,"50000"
Neto,"50000"
Ryan Christie,"50000"
Aaron Cresswell,"50000"
Konstantinos Mavropanos,"50000"
Nayef Aguerd,"50000"
Wataru Endo,"50000"
Calum Chambers,"50000"
Robin Olsen,"50000"
Matt Doherty,"50000"
Max Kilman,"50000"
Pedro Neto,"50000"
Sean Longstaff,"50000"
Valentino Livramento,"50000"
Mathias Jensen,"50000"
Neal Maupay,"50000"
Conor Gallagher,"50000"
Noni Madueke,"50000"
Trevoh Chalobah,"50000"
João Pedro,"50000"
Joël Veltman,"50000"
Pervis Estupiñán,"50000"
Solly March,"50000"
Beto,"50000"
Albert Sambi Lokonga,"50000"
Joe Worrall,"50000"
Neco Williams,"50000"
Serge Aurier,"50000"
Taiwo Awoniyi,"50000"
Andreas Pereira,"50000"
Antonee Robinson,"50000"
Harrison Reed,"50000"
Kenny Tete,"50000"
Jeremy Doku,"50000"
Sergio Gómez,"50000"
Callum Wilson,"46000"
Zack Steffen,"46000"
Fabio Vieira,"45000"
Tom Heaton,"45000"
Daniel Muñoz,"45000"
Rob Holding,"45000"
Hamed Junior Traorè,"45000"
Philip Billing,"45000"
Craig Dawson,"45000"
Mario Lemina,"45000"
Jack Cork,"45000"
Josh Brownhill,"45000"
Matt Ritchie,"45000"
Bryan Mbeumo,"45000"
Lesley Ugochukwu,"45000"
Malo Gusto,"45000"
Roméo Lavia,"45000"
Igor,"45000"
Cheikhou Kouyaté,"45000"
Moussa Niakhate,"45000"
Odisseas Vlachodimos,"45000"
Calvin Bassey,"45000"
Emile Smith Rowe,"40000"
Bryan Gil,"40000"
Emerson,"40000"
Oliver Skipp,"40000"
Matheus França,"40000"
Sam Johnstone,"40000"
Tyrick Mitchell,"40000"
Alex Scott,"40000"
Lewis Cook,"40000"
Harvey Elliott,"40000"
Stefan Bajcetic,"40000"
José Sá,"40000"
Jay Rodriguez,"40000"
Josh Cullen,"40000"
Sander Berge,"40000"
Fabian Schär,"40000"
Jamaal Lascelles,"40000"
Martin Dúbravka,"40000"
Frank Onyeka,"40000"
Kristoffer Ajer,"40000"
Armando Broja,"40000"
Deivid Washington,"40000"
Ashley Young,"40000"
Gio Reyna,"40000"
Matt Turner,"40000"
Ola Aina,"40000"
Willy Boly,"40000"
Carlos Vinícius,"40000"
Tosin Adarabioyo,"40000"
Altay Bayındır,"35000"
Ben Brereton,"35000"
Rhian Brewster,"35000"
Adam Wharton,"35000"
Joel Ward,"35000"
Will Hughes,"35000"
Adam Smith,"35000"
Chris Mepham,"35000"
Dango Ouattara,"35000"
Marcus Tavernier,"35000"
Max Aarons,"35000"
Romain Faivre,"35000"
Ryan Fredericks,"35000"
Vladimír Coufal,"35000"
Álex Moreno,"35000"
Jean-Ricner Bellegarde,"35000"
Jonny Castro,"35000"
Sasa Kalajdzic,"35000"
Jacob Bruun Larsen,"35000"
Jóhann Berg Guðmundsson,"35000"
Nathan Redmond,"35000"
Jacob Murphy,"35000"
Javier Manquillo,"35000"
Paul Dummett,"35000"
Christian Nørgaard,"35000"
Keane Lewis-Potter,"35000"
Rico Henry,"35000"
Marcus Bettinelli,"35000"
Bart Verbruggen,"35000"
