Player,Weekly Wage
Miguel Almir—n,"60,000"
Nick Pope,"60,000"
Robert S‡nchez,"60,000"
James Milner,"60,000"
Jakub Kiwior,"58,000"
Vitaliy Mykolenko,"58,000"
Mohamed Elneny,"55,000"
Takehiro Tomiyasu,"55,000"
Ryan Sessegnon,"55,000"
Yves Bissouma,"55,000"
Chris Richards,"55,000"
Ja•ro Riedewald,"55,000"
Sa•d Benrahma,"55,000"
Luis D’az,"55,000"
Boubacar TraorŽ,"55,000"
Dan Burn,"55,000"
Emil Krafth,"55,000"
Ben Mee,"55,000"
Adam Webster,"55,000"
Danny Welbeck,"55,000"
Mahmoud Dahoud,"55,000"
SŽamus Coleman,"55,000"
Stefan Ortega,"55,000"
Sergio Reguil—n,"53,000"
Arnaut Danjuma,"52,500"
Alejandro Garnacho,"50,000"
Mason Greenwood,"50,000"
Micky van de Ven,"50,000"
James Tomkins,"50,000"
Jean-Philippe Mateta,"50,000"
Jeffrey Schlupp,"50,000"
Marc GuŽhi,"50,000"
David Brooks,"50,000"
Marcos Senesi,"50,000"
Neto,"50,000"
Ryan Christie,"50,000"
Aaron Cresswell,"50,000"
Konstantinos Mavropanos,"50,000"
Nayef Aguerd,"50,000"
Wataru Endo,"50,000"
Calum Chambers,"50,000"
Robin Olsen,"50,000"
Matt Doherty,"50,000"
Max Kilman,"50,000"
Pedro Neto,"50,000"
Sean Longstaff,"50,000"
Valentino Livramento,"50,000"
Mathias Jensen,"50,000"
Neal Maupay,"50,000"
Conor Gallagher,"50,000"
Noni Madueke,"50,000"
Trevoh Chalobah,"50,000"
Jo‹o Pedro,"50,000"
Jo‘l Veltman,"50,000"
Pervis Estupi–‡n,"50,000"
Solly March,"50,000"
Beto,"50,000"
Albert Sambi Lokonga,"50,000"
Joe Worrall,"50,000"
Neco Williams,"50,000"
Serge Aurier,"50,000"
Taiwo Awoniyi,"50,000"
Andreas Pereira,"50,000"
Antonee Robinson,"50,000"
Harrison Reed,"50,000"
Kenny Tete,"50,000"
Jeremy Doku,"50,000"
Sergio G—mez,"50,000"
Callum Wilson,"46,000"
Zack Steffen,"46,000"
Fabio Vieira,"45,000"
Tom Heaton,"45,000"
Daniel Mu–oz,"45,000"
Rob Holding,"45,000"
Hamed Junior Traor,"45,000"
Philip Billing,"45,000"
Craig Dawson,"45,000"
Mario Lemina,"45,000"
Jack Cork,"45,000"
Josh Brownhill,"45,000"
Matt Ritchie,"45,000"
Bryan Mbeumo,"45,000"
Lesley Ugochukwu,"45,000"
Malo Gusto,"45,000"
RomŽo Lavia,"45,000"
Igor,"45,000"
Cheikhou KouyatŽ,"45,000"
Moussa Niakhate,"45,000"
Odisseas Vlachodimos,"45,000"
Calvin Bassey,"45,000"
Emile Smith Rowe,"40,000"
Bryan Gil,"40,000"
Emerson,"40,000"
Oliver Skipp,"40,000"
Matheus Frana,"40,000"
Sam Johnstone,"40,000"
Tyrick Mitchell,"40,000"
Alex Scott,"40,000"
Lewis Cook,"40,000"
Harvey Elliott,"40,000"
Stefan Bajcetic,"40,000"
JosŽ S‡,"40,000"
Jay Rodriguez,"40,000"
Josh Cullen,"40,000"
Sander Berge,"40,000"
Fabian SchŠr,"40,000"
Jamaal Lascelles,"40,000"
Martin Dœbravka,"40,000"
Frank Onyeka,"40,000"
Kristoffer Ajer,"40,000"
