Player,Cmp,Att_Total,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,P_Final3rd,PPA,CrsPA,PrP
George Earthy,16,17,94.1,183,43,0,0,0,0,0,0,0,0,1
Mohamed Elneny,39,40,97.5,624,147,0,0,0,0,0,2,0,0,1
_ukasz Fabia_ski,160,239,66.9,5259,3852,0,0,0,0,0,8,0,0,1
Kaide Gordon,1,1,100,16,11,0,0,0,0,0,0,0,0,1
Luke Harris,11,14,78.6,172,14,0,0,0,0,0,0,1,0,1
Tim Iroegbunam,51,55,92.7,704,229,0,0,0,0,0,1,0,0,1
Brennan Johnson,47,61,77,671,143,0,0.2,0,-0.2,1,2,0,0,1
Thomas Kaminski,869,1468,59.2,27614,22188,0,0,0.1,0,1,44,2,0,1
Thilo Kehrer,9,9,100,86,36,0,0,0,0,0,0,0,0,1
Caoimhín Kelleher,359,442,81.2,8077,5323,0,0,0,0,1,9,0,0,1
Roméo Lavia,22,27,81.5,350,51,0,0,0,0,0,4,0,0,1
James McConnell,5,6,83.3,93,29,0,0,0,0,0,0,0,0,1
Aleksandar Mitrovi_,4,8,50,78,24,0,0,0,0,0,1,1,0,1
Mikey Moore,4,5,80,51,11,0,0,0,0,0,0,0,0,1
Arijanet Muric,404,585,69.1,11273,8376,0,0.2,0.1,-0.2,4,16,1,0,1
Alex Murphy,17,17,100,275,81,0,0,0,0,0,2,0,0,1
Myles Peart-Harris,6,10,60,68,10,0,0,0,0,1,1,0,0,1
_or_e Petrovi_,635,806,78.8,14560,8862,0,0,0,0,0,3,0,0,1
José Sá,720,1097,65.6,17257,11201,1,0,0,1,1,8,0,0,1
Robert Sánchez,500,609,82.1,11860,7720,0,0,0,0,0,8,0,0,1
Dane Scarlett,2,3,66.7,25,16,0,0,0,0,0,1,0,0,1
James Tomkins,18,21,85.7,362,142,0,0,0,0,0,1,0,0,1
Alejo Véliz,5,10,50,91,5,0,0,0,0,0,0,0,0,1
Odisseas Vlachodimos,141,176,80.1,3965,2847,0,0,0,0,1,0,0,0,1
Joshua Acheampong,1,2,50,18,7,0,0,0,0,0,0,0,0,0
Brandon Aguilera,4,8,50,48,23,0,0,0,0,0,1,0,0,0
Thiago Alcántara,7,10,70,130,30,0,0,0,0,0,0,0,0,0
Cameron Archer,5,6,83.3,42,0,0,0,0,0,0,0,0,0,0
Fodé Ballo-Touré,56,78,71.8,1002,224,0,0,0,0,0,3,0,0,0
Owen Beck,3,4,75,31,1,0,0,0,0,0,0,0,0,0
Donny van de Beek,1,1,100,7,0,0,0.1,0,-0.1,1,0,0,0,0
Daniel Bentley,96,144,66.7,2347,1661,0,0,0,0,0,2,0,0,0
Mason Burstow,3,4,75,29,1,0,0,0,0,0,0,0,0,0
Thomas Cannon,0,0,,0,0,0,0,0,0,0,0,0,0,0
Kaelan Casey,0,0,,0,0,0,0,0,0,0,0,0,0,0
Jonny Castro,0,0,,0,0,0,0,0,0,0,0,0,0,0
Amadou Diallo,1,1,100,10,0,0,0,0,0,0,0,0,0,0
Ben Doak,4,4,100,45,8,0,0,0,0,0,0,0,0,0
Jamie Donley,1,1,100,14,0,0,0,0,0,0,0,0,0,0
Martin Dúbravka,519,651,79.7,11869,6941,0,0.1,0,-0.1,1,1,0,0,0
Wes Foderingham,595,1054,56.5,19592,15704,0,0.1,0.1,-0.1,1,19,2,0,0
Enso Gonzalez,6,6,100,87,3,0,0,0,0,0,0,0,0,0
Daniel Gore,0,0,,0,0,0,0,0,0,0,0,0,0,0
Ivo Grbi_,148,298,49.7,5407,4505,0,0,0,0,0,1,0,0,0
Antwoine Hackford,2,2,100,14,0,0,0,0,0,0,0,0,0,0
Dean Henderson,280,485,57.7,7596,5485,0,0,0,0,0,9,1,0,0
Daniel Jebbison,1,3,33.3,9,0,0,0,0,0,0,0,0,0,0
Sam Johnstone,343,599,57.3,11568,8793,0,0,0,0,0,13,0,0,0
Loris Karius,21,37,56.8,507,279,0,0,0,0,0,0,0,0,0
Omari Kellyman,6,7,85.7,78,11,0,0,0,0,0,2,0,0,0
Kaine Kesler-Hayden,0,0,,0,0,0,0,0,0,0,0,0,0,0
Aymeric Laporte,11,11,100,202,48,0,0,0,0,0,0,0,0,0
Bernd Leno,1250,1577,79.3,29886,18166,0,0,0,0,0,23,0,0,0
Han-Noah Massengo,6,12,50,74,42,0,0,0,0,0,1,0,0,0
Alex Matos,0,0,,0,0,0,0,0,0,0,0,0,0,0
Remi Matthews,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Neal Maupay,22,26,84.6,353,14,0,0.1,0,-0.1,1,0,0,0,0
James McAtee,0,0,,0,0,0,0,0,0,0,0,0,0,0
Tyrone Mings,5,5,100,119,86,0,0,0.2,0,1,1,0,0,0
Divin Mubama,16,22,72.7,200,15,0,0,0,0,0,0,0,0,0
Mohamed Elneny,1,1,100,16,0,0,0,0,0,0,0,0,0,0
Michael Ndiweni,1,2,50,16,15,0,0,0,0,0,0,0,0,0
Zack Nelson,4,4,100,41,0,0,0,0,0,0,0,0,0,0
Neto,692,1060,65.3,20318,15023,0,0,0,0,0,23,0,0,0
Mark O'Mahony,13,16,81.3,162,2,0,0,0,0,0,0,0,0,0
Michael Obafemi,4,5,80,55,2,0,0,0,0,0,0,0,0,0
Robin Olsen,165,203,81.3,3545,2046,0,0,0,0,0,1,0,0,0
Ryan One,1,1,100,7,0,0,0,0,0,0,0,0,0,0
Tyler Onyango,0,0,,0,0,0,0,0,0,0,0,0,0,0
Stefan Ortega,213,266,80.1,4942,3526,0,0,0,0,0,2,0,0,0
Cole Palmer,4,5,80,51,0,0,0,0,0,0,0,0,0,0
Ben Parkinson,1,3,33.3,15,0,0,0,0,0,0,0,0,0,0
Sydie Peck,1,1,100,10,0,0,0,0,0,0,0,0,0,0
Jaden Philogene Bidace,3,4,75,27,5,0,0,0,0,0,0,0,0,0
Nick Pope,307,399,76.9,7910,4836,0,0,0,0,0,5,0,0,0
Ionu_ Radu,56,68,82.4,1211,583,0,0,0,0,0,0,0,0,0
Dominic Sadi,0,1,0,0,0,0,0,0,0,0,0,0,0,0
