Player,Cmp,Att_Total,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,P_Final3rd,PPA,CrsPA,PrP
Julián Álvarez,1011,1258,80.4,13977,2992,8,6.4,6.3,1.6,67,43,41,4,103
Thiago Silva,2166,2287,94.7,38542,15513,1,1,0.6,0,9,125,10,1,102
Wataru Endo,1157,1315,88,17822,5048,0,1.7,1.5,-1.7,16,109,18,2,101
João Gomes,1051,1279,82.2,15291,4174,1,1.1,1.7,-0.1,20,73,23,5,101
Anthony Gordon,803,1055,76.1,12020,3500,10,8,5.6,2,57,54,39,12,101
Jorginho,699,785,89,11386,3439,2,1.4,2.1,0.6,10,81,25,1,101
James Garner,958,1244,77,16067,4432,2,4.6,3.7,-2.6,44,98,24,6,100
Joe Gomez,1114,1345,82.8,18984,5116,1,1.3,1.1,-0.3,22,83,20,7,100
Mateo Kova_i_,1435,1527,94,20506,4603,0,1.6,1.9,-1.6,21,120,15,0,100
Rayan Aït-Nouri,1005,1190,84.5,13946,3935,1,2.4,1.7,-1.4,25,60,13,4,99
Kai Havertz,764,955,80,9583,2405,7,4.4,4.3,2.6,46,65,29,1,99
Nathan Collins,1261,1552,81.3,23470,8772,1,2.2,1.1,-1.2,11,78,6,0,97
Abdoulaye Doucouré,683,893,76.5,9807,2329,1,2.9,1.5,-1.9,34,43,18,1,97
João Palhinha,1098,1333,82.4,19131,5348,1,0.8,1,0.2,13,96,7,1,97
Tyrick Mitchell,1177,1627,72.3,18588,7927,3,2.8,2.4,0.2,24,74,29,12,94
Eberechi Eze,700,909,77,11150,3226,4,5.2,5.6,-1.2,54,48,45,7,93
João Pedro,659,818,80.6,8706,1876,3,3.8,4.7,-0.8,37,43,44,4,92
Edson Álvarez,1033,1207,85.6,17083,5225,1,0.6,0.8,0.4,12,87,6,1,91
Nicolás Domínguez,714,843,84.7,10894,3223,2,1,1.3,1,10,61,16,1,91
Josh Brownhill,850,1106,76.9,13206,3449,2,2.1,2.1,-0.1,34,71,16,0,90
Murillo,1123,1460,76.9,22984,10571,2,1.2,0.6,0.8,7,101,11,0,89
Adam Smith,782,1025,76.3,12722,5225,2,1.3,1.7,0.7,17,58,23,17,89
Matty Cash,985,1225,80.4,16094,4888,2,2.3,2.5,-0.3,13,69,19,8,88
Bryan Mbeumo,511,765,66.8,7853,2424,6,4.6,5.6,1.4,32,32,36,4,88
Matheus Cunha,658,831,79.2,8887,2308,7,3.2,3,3.8,28,56,31,1,87
Malo Gusto,1230,1423,86.4,17534,5080,6,4.3,3.3,1.7,32,49,29,13,86
Tomá_ Sou_ek,722,962,75.1,11368,3594,2,1.7,1.2,0.3,20,80,8,2,86
Joël Veltman,758,906,83.7,12317,3297,1,0.5,0.6,0.5,4,51,8,0,85
Marcus Tavernier,658,920,71.5,10699,3392,4,5.2,4.2,-1.2,44,46,35,7,84
Danilo,589,758,77.7,10498,3239,2,1.5,0.7,0.5,20,74,14,0,83
Pervis Estupiñán,809,962,84.1,11736,3617,3,3.5,2.3,-0.5,26,66,25,11,83
Cody Gakpo,436,564,77.3,6130,1738,5,2.9,2.7,2.1,25,43,32,5,83
Idrissa Gana Gueye,758,898,84.4,11688,3236,0,1.1,0.8,-1.1,15,70,9,1,83
Boubacar Kamara,922,1035,89.1,14037,3978,1,1.3,1.4,-0.3,20,107,12,0,83
Leon Bailey,573,790,72.5,8993,2559,9,9.2,7.3,-0.2,52,38,51,7,82
Charlie Taylor,995,1312,75.8,16535,5292,1,1.2,1.7,-0.2,15,69,19,14,82
Ashley Young,723,1052,68.7,12752,5653,0,1.5,1.4,-1.5,21,62,22,11,82
Tommy Doyle,801,955,83.9,15164,4208,0,0.4,0.9,-0.4,8,86,7,2,81
Mohammed Kudus,677,875,77.4,11263,1764,6,3.5,3.7,2.5,28,32,29,16,80
Adam Webster,997,1096,91,16938,5838,0,0.1,0.3,-0.1,5,92,4,0,80
Toti Gomes,1516,1847,82.1,23316,8336,3,1.2,0.6,1.8,6,78,6,1,79
Adam Wharton,464,596,77.9,8091,2486,3,2.4,1.5,0.6,21,51,16,3,79
Miguel Almirón,668,801,83.4,9023,1846,1,2.6,2.4,-1.6,24,38,21,3,78
Ryan Gravenberch,415,504,82.3,5520,1719,0,0.9,1.4,-0.9,16,35,27,0,78
Michael Olise,540,721,74.9,8557,2634,6,5.8,5,0.2,36,43,34,3,78
Raheem Sterling,538,728,73.9,7091,1775,4,4.5,4.3,-0.5,30,31,35,7,78
Timothy Castagne,1350,1662,81.2,21238,7361,3,1.9,1.8,1.1,18,74,17,8,77
Lucas Digne,1015,1351,75.1,16244,5595,3,4.1,3.6,-1.1,37,49,34,15,77
Aaron Wan-Bissaka,823,986,83.5,10824,3539,2,1.5,1.4,0.5,12,51,16,3,77
Amari'i Bell,645,835,77.2,10680,4470,0,0.5,0.4,-0.5,8,63,8,0,76
Will Hughes,731,878,83.3,10742,3108,1,1.1,1.8,-0.1,21,71,16,2,76
Mario Lemina,1261,1470,85.8,20364,5341,1,1.5,1.3,-0.5,20,65,8,3,76
Leandro Trossard,494,673,73.4,7666,1927,1,2.8,3.2,-1.8,24,28,29,4,76
Dan Burn,1351,1667,81,22402,8237,2,1.1,1.1,0.9,10,67,7,3,75
Jarrad Branthwaite,1105,1385,79.8,20561,8048,0,1,1.3,-1,4,60,1,0,74
Curtis Jones,707,776,91.1,10366,2136,1,0.7,1.1,0.3,11,64,14,1,74
Levi Colwill,965,1163,83,16310,5939,1,1.2,0.5,-0.2,7,82,6,0,73
Harry Maguire,917,1103,83.1,16999,6419,2,1.2,0.9,0.8,6,78,6,0,73
Oliver Norwood,634,911,69.6,12291,4646,0,0.6,1.2,-0.6,17,67,11,2,73
Ryan Yates,658,827,79.6,10590,2717,1,0.8,0.6,0.2,7,59,10,0,73
Rodrigo Bentancur,674,800,84.3,10011,2610,1,0.5,1.1,0.5,8,69,11,1,72
Tahith Chong,428,550,77.8,6679,1643,0,0.5,1.4,-0.5,10,35,20,8,72
Moussa Diaby,485,619,78.4,6960,1348,8,6.6,4.5,1.4,47,29,40,9,72
Brennan Johnson,519,728,71.3,7315,1778,10,8.1,4.5,1.9,45,32,39,10,72
Thomas Partey,570,636,89.6,9177,2564,0,0.3,0.6,-0.3,6,61,14,2,72
Albert Sambi Lokonga,669,766,87.3,11099,3318,3,1.4,0.8,1.6,9,68,6,1,72
Takehiro Tomiyasu,574,697,82.4,8941,2520,1,0.4,0.8,0.6,6,60,10,3,72
Ben Davies,766,850,90.1,13839,5258,0,0.4,0.6,-0.4,4,80,4,0,71
Alexander Isak,385,493,78.1,5446,1167,2,3.7,2.8,-1.7,27,28,21,0,71
James Milner,492,585,84.1,7622,2496,2,1.8,1.7,0.2,16,46,17,6,69
Nayef Aguerd,943,1177,80.1,19870,8804,0,0.3,0.4,-0.3,4,74,2,0,68
Ola Aina,603,802,75.2,9610,4012,1,0.9,1,0.1,11,58,13,6,68
Christian Eriksen,648,805,80.5,10504,2702,2,2.3,2.3,-0.3,27,66,17,3,68
Giovani Lo Celso,449,503,89.3,6799,2073,2,1.9,1.9,0.1,18,44,14,3,68
Reece Burke,547,719,76.1,10396,4169,4,1.4,0.9,2.6,13,58,9,3,67
Marc Guéhi,1138,1309,86.9,22770,7962,1,0.6,1,0.4,7,90,5,0,67
Nicolas Jackson,515,666,77.3,6528,1537,5,4.3,2.9,0.7,38,40,21,0,67
Jarell Quansah,1038,1172,88.6,18672,6199,0,0.1,0.2,-0.1,3,69,1,0,67
Sofyan Amrabat,578,664,87,10308,2747,0,0.3,0.4,-0.3,6,62,6,1,66
Issa Diop,950,1080,88,17646,6371,0,0,0.4,0,0,60,3,0,66
Vinicius Souza,790,994,79.5,12856,3441,0,0.2,0.5,-0.2,4,60,5,1,66
Vitinho,715,994,71.9,11588,3536,2,1.3,1.2,0.7,11,56,19,4,66
Joel Ward,715,944,75.7,11829,5634,1,0.2,0.3,0.8,3,68,7,3,66
Gabriel Martinelli,724,929,77.9,11003,2008,4,6.1,5.2,-2.1,46,22,33,7,65
Marcus Rashford,559,742,75.3,7674,2035,2,2.3,2.8,-0.3,23,34,30,1,65
Tim Ream,944,1060,89.1,18892,6949,0,0,0.1,0,0,78,1,0,65
Antony,468,595,78.7,6175,1608,1,2.8,1.9,-1.8,22,26,29,3,64
Kobbie Mainoo,748,868,86.2,10519,2654,1,0.7,1.6,0.3,15,47,9,1,64
Scott McTominay,528,655,80.6,7877,2012,1,0.8,0.5,0.2,11,63,9,0,64
Kaoru Mitoma,509,650,78.3,6210,1486,4,2.7,3.6,1.3,25,23,34,5,64
Antoine Semenyo,452,647,69.9,6944,1597,2,3.2,2.3,-1.2,29,28,28,7,64
Jordan Ayew,681,920,74,9753,1856,7,4.2,2.7,2.8,25,43,26,10,63
Jack Robinson,894,1254,71.3,17460,7680,1,1.2,1,-0.2,12,66,7,4,63
Tosin Adarabioyo,1028,1216,84.5,21010,7956,0,0.1,0.3,-0.1,2,47,2,0,62
Calvin Bassey,1440,1674,86,27276,9421,0,0,0.2,0,1,80,2,0,62
Alejandro Garnacho,675,901,74.9,9269,1365,4,5.1,2.9,-1.1,46,26,22,4,62
Jack Harrison,409,631,64.8,5825,2378,3,3.4,3.3,-0.4,28,37,34,11,62
Kristoffer Ajer,610,810,75.3,10210,3786,1,2.3,2.7,-1.3,12,56,10,3,61
Mikkel Damsgaard,300,432,69.4,4940,1897,2,1.4,0.9,0.6,10,50,11,1,61
Valentino Livramento,689,802,85.9,10004,2947,0,0.8,0.8,-0.8,12,58,16,3,61
Ethan Pinnock,1192,1432,83.2,22546,7516,0,1,0.8,-1,4,76,5,0,61
Jayden Bogle,684,968,70.7,10589,3926,0,1,1.2,-1,10,45,20,5,60
Dominic Solanke,400,544,73.5,5026,1387,3,3,2,0,39,32,24,3,60
Harry Wilson,478,632,75.6,7538,1644,6,3.5,2.7,2.5,22,34,26,7,60
Jóhann Berg Gu_mundsson,396,544,72.8,7505,2234,3,2.7,2.5,0.3,35,36,18,6,59
Diego Carlos,1184,1340,88.4,23313,9315,0,0.1,0.4,-0.1,3,72,4,0,59
